key,en-us,fr,es-es,pl,ru,de,tr,,
COMMAND_SETSERVERDISCOVERY_INVITE_REMOVE,Server discovery invite has been removed.,L'invitation à la découverte de serveur a été supprimée.,,,,,,,
COMMAND_SETSERVERDISCOVERY_INVITE_NOCODE,Could not find invite code in invite.,Impossible de trouver le code d'invitation dans invite.,,,,,,,
COMMAND_SETSERVERDISCOVERY_INVITE_INVALID,`{0}` is not a valid Discord invite.,` {0} ` n'est pas une invitation Discord valide.,,,,,,,
COMMAND_SETSTATUSCHANNEL,Sets the text channel that server status messages will be sent,Définit le canal de texte auquel les messages d'état du serveur seront envoyés,,,"Устанавливает текстовый канал, куда будет отправляться информация о сервере",,,,
COMMAND_SETSTATUSCHANNEL_ARG1,The setting to change about the status channel,"Peut être un nom de canal, un identifiant ou un tag",,,,,,,
COMMAND_SETSTATUSCHANNEL_SET,<:green_circle_with_tick:818512512500105249> Status channel set to <#{0}>,<:green_circle_with_tick:818512512500105249> Canal d'état défini sur <#{0}>,,,<:green_circle_with_tick:818512512500105249> <#{0}> установлен как канал для логов,,,,
COMMAND_SETSTATUSCHANNEL_REMOVE,<:red_circle_with_cross:818512512764084265> Status channel (<#{0}>) removed,<:red_circle_with_cross:818512512764084265> Canal d'état (<#{0}>) supprimé,,,Канал для ведения логов (<#{0}>) removed,,,,
COMMAND_SETSTATUSCHANNEL_TYPE,Status channel type has been set to `{0}`,,,,,,,,
COMMAND_SETSTATUSCHANNEL_TYPE_NOID,Could not find id for status channel type.,,,,,,,,
COMMAND_SETSTATUSCHANNEL_MESSAGE,Status channel message set to message with id `{0}`,,,,,,,,
COMMAND_SETSTATUSCHANNEL_MESSAGE_BADID,`{0}` is not a valid message id,,,,,,,,
COMMAND_SETSTATUSCHANNEL_MESSAGE_NOCHANNEL,No status channel exists in this guild,,,,,,,,
COMMAND_SETSTATUSCHANNEL_MESSAGE_NOMESSAGE,No message exists in the status channel with that id,,,,,,,,
COMMAND_SETSTATUSCHANNEL_MESSAGE_NOTBOT,Cannot set status message to message not posted by this bot,,,,,,,,
COMMAND_SETTINGS,Gets the current server settings,Obtient les paramètres actuels du serveur,,,Показывает текущие настройки сервера,,,,
COMMAND_SETTINGS_TITLE,Settings,Paramètres,,,Настройки,,,,
COMMAND_SETTINGS_FORMAT,• Prefix: `{0}`\n• Ip: `{1}`\n• Port: `{2}`\n• Query Port: `{3}`\n• Server Discovery: `{4}` `(Invite: {5})`\n• Status channel: {6} `(Type: {7})`\n• Disabled commands: `{8}`,• Préfixe: `{0}`\n• Ip: `{1}`\n• Port: `{2}`\n• Port de requête: `{3}`\n• Découverte du serveur: `{4}` `(D'invitation: {5})`\n• Canal de status: {6} `(Type: {7})`\n• Commandes désactivés: `{8}`,,,• Префикс: `{0}`\n• IP: `{1}`\n• Порт: `{2}`\n• Query порт: `{3}`\n• Server Discovery: `{4}` `(Invite: {5})`\n• Status channel: {6} `(Type: {7})`\n• Отключены команды: `{8}`,,,,
COMMAND_SETUP,A walkthrough on how to setup up the server,Une procédure pas à pas pour la configuration du serveur,,,,,,,
COMMAND_SETUP_ARG1,The setup page to display,,,,,,,,
COMMAND_SETUP_PAGE1_TITLE,Getting setup,,,,,,,,
COMMAND_SETUP_PAGE1_DESC,"Let's get your server setup! First there is a few commands that you are going to have to run.\n\n**Customizing your prefix**\nYou can give your server a custom prefix by running `{0}prefix <prefix>`!\n\n**Connecting your server**\nSet the server address for this guild by running `{0}setaddress <server address>`, for example `{0}setaddress mc.hypixel.net:25565`.\n\nIf your server uses the default port `25565` then you do not have to add the `:25565` onto the end, otherwise you should.\n\n**Tweaking the address**\nIf you ever want to change the port at anytime you can use `{0}setport <port>` to change the port used by the bot without having to write out the server ip.\n\nYou can also do the same for the server ip by doing `{0}setip <server ip>` without having to write out the server port.\n\n*(You can use the arrows below to flick between pages)*",,,,,,,,
COMMAND_SETUP_PAGE2_TITLE,Viewing your settings,,,,,,,,
COMMAND_SETUP_PAGE2_DESC,"You can check the settings for your server at anytime by running `{0}settings`, this will show you a list of all the settings stored about your server.\n\n**What are these settings used for?**\nMany commands use these settings to reduce the amount of typing needed when wanting to see information about your server.\n\nYou can test some of these commands that use your server settings:\n• `{0}status`\n• `{0}players`\n• `{0}mods`\n• `{0}plugins`\n\n**Advanced settings**\nTurn to the next page for a guide on more advanced features and settings!\n\n**Our privacy policy**\nIf you would like to find out what we do with your data in detail then you can read our privacy policy by running `{0}policy`",,,,,,,,
COMMAND_SETUP_PAGE3_TITLE,Advanced setup,,,,,,,,
COMMAND_SETUP_PAGE3_DESC,"Here is a guide on more advanced settings and features of the bot.\n\n**Server querying**\nSome servers may have the `query.port` setting in their `server.properties` file set to a different port compared to the port used to connect to the server.\nThis port is needed in order to get details such as **players**, **mods** and **plugins** from the server.\nYou must also ensure that `enable-query=true` is set in the `server.properties` file.\n\nBy default the query port is set to `-1` and will instead use the port used to connect to the server, run `{0}queryport <port>` to change the query port.\n\n**Status channels**\nA status channel is where live updates about your server will be posted.\nYou can set your status channel by doing `{0}setstatuschannel <channel>`, updates will be sent to this channel every 60 seconds.\n\nYou can change the look and way that this information is displayed by running `{0}setstatuschannel display <type>`.\nThe `panel` types will post a single message that is constantly updated with server information.",,,,,,,,
COMMAND_SETUP_PAGE4_TITLE,Server Discovery,,,,,,,,
COMMAND_SETUP_PAGE4_DESC,"Server discovery allows other people from other servers, that have this bot, to find your server and for you to find their server!\n\nYou can view the list of these servers by doing `{0}discover`.\n\nIf you would like to add your server to the discovery list then you can run `{0}setserverdiscovery display on` and your server should appear in the list!\nYour server will appear in **bold** with the :diamond_shape_with_a_dot_inside: symbol next to it.\n\nYou can also attach a discord invite next to your server address so that people can join your discord server, add the invite by running `{0}setserverdiscovery invite <invite>`. The invite must be a full discord invite link.\n\nYou can at anytime remove your server from the discovery list or remove your discord invite by running the commands as such:\n• `{0}setserverdiscovery display off`\n• `{0}setserverdiscovery invite remove`.",,,,,,,,
COMMAND_SETUP_PAGE5_TITLE,Additional features,,,,,,,,
COMMAND_SETUP_PAGE5_DESC,"Here are some additional features you can use!\n\n**Disabling commands**\nIf you would like to disable certain commands within your server then you can! To disable a command you can do `{0}disabled add <command>`, this will add the command to a list of disabled commands for your server. For example `{0}disabled add createmotd` will disable the `{0}createmotd` command.\n\nIf you ever want to re-enable a command then run `{0}disabled remove <command>` this will remove the command from the disabled list.\nYou can also re-enable all disabled commands by running `{0}disabled removeall`.\n\n**Removing bot messages**\nIf you want to clean messages specifically from this bot from a channel then you can use the `{0}clear` command.\n\nTo remove a certain number of messages you can use `{0}clear count <number>`.\n\nIf you would like to clear messages posted after a certain date and time you can use `{0}clear after <date>`, you should represent dates as yyyy/mm/dd, 'today', 'yesterday' and 'this week' also work.\n\nYou can also just remove the previous message by running `{0}clear previous`",,,,,,,,
COMMAND_STATS,View statistics,Voir les statistiques,,,Показать статистику,,,,
COMMAND_STATS_ARG1,The type of statistics you would like to see,Le type de statistiques que vous souhaitez voir,,,,,,,
COMMAND_STATS_BOT_TITLE,Stats,Statistiques,,,,,,,
COMMAND_STATS_BOT_FIELD1,Servers,Serveurs,,,,,,,
COMMAND_STATS_BOT_FIELD2,Users,Utilisateurs,,,,,,,
COMMAND_STATS_BOT_FIELD3,Channels,Canaux,,,,,,,
COMMAND_STATS_BOT_FIELD4,Ping,Ping,,,,,,,
COMMAND_STATS_BOT_FIELD5,Commands Ran,Commandes Ran,,,,,,,
COMMAND_STATS_BOT_FIELD6,Last Command,Dernière commande,,,,,,,
COMMAND_STATS_BOT_FIELD7,Server,Serveur,,,,,,,
COMMAND_STATS_BOT_FIELD7_VAL,Heroku - OS: {0} - Uptime: {1},Heroku - OS: {0} - Uptime: {1},,,Heroku - OS: {0} - аптайм: {1},,,,
COMMAND_STATS_BOT_FIELD8,CPU,CPU,,,,,,,
COMMAND_STATS_BOT_FIELD8_VAL,{0} - {1} core(s) ({2}%),{0} - {1} coeur(s) ({2}%),,,,,,,
COMMAND_STATS_BOT_FIELD9,Memory Usage,Utilisation Mémoire,,,,,,,
COMMAND_STATS_BOT_FIELD10,Network Average,Moyenne du réseau,,,,,,,
COMMAND_STATS_BOT_FIELD10_VAL,"In: {0}Mb, Out: {1}Mb","Entrée: {0} Mo, sortie: {1} Mo",,,,,,,
COMMAND_STATS_BOT_GRAPH_COUNT_X,Past week,,,,,,,,
COMMAND_STATS_BOT_GRAPH_COUNT_Y,Server count,,,,,,,,
COMMAND_STATS_BOT_GRAPH_MEM_X,Time,,,,,,,,
COMMAND_STATS_BOT_GRAPH_MEM_Y,Memory (MB),,,,,,,,
COMMAND_STATS_HYPIXEL_PLAYERS_FAIL_TITLE,Problem getting players!,Problème pour obtenir les info du joueurs!,,,,,,,
COMMAND_STATS_HYPIXEL_PLAYERS_FAIL_DESC,There was a problem that occured when trying\nto get the player counts for that gamemode!,Un problème est survenu lors de la tentative\nd’obtenir le nombre de joueurs pour ce mode de jeu!,,,,,,,
COMMAND_STATS_HYPIXEL_PLAYERS_TITLE,{0} Player Counts,{0} Nombre de joueurs,,,,,,,
COMMAND_STATS_HYPIXEL_PLAYER_FAIL_TITLE,Error getting player information!,Erreur lors de l'obtention des informations sur le joueur!,,,,,,,
COMMAND_STATS_HYPIXEL_PLAYER_FAIL_DESC,Could not get hypixel stats for '{0}',Impossible d'obtenir les statistiques d'hypixel pour '{0}',,,,,,,
COMMAND_STATS_HYPIXEL_PLAYER_TITLE,{0}'s Stats,{0}'s Statistiques,,,,,,,
COMMAND_STATS_HYPIXEL_PLAYER_ONLINE,<:green_circle_with_tick:818512512500105249> **Online**\nOnline For: **{0}**,<:green_circle_with_tick:818512512500105249> **En ligne**\nEn ligne pendant: **{0}**,,,,,,,
COMMAND_STATS_HYPIXEL_PLAYER_OFFLINE,<:red_circle_with_cross:818512512764084265> **Offline**\nLast Online: **{0}**,<:red_circle_with_cross:818512512764084265> **Hors ligne**\nDernière connexion: **{0}**,,,,,,,
COMMAND_STATS_HYPIXEL_PLAYER_DESC,Status: {0}\nFirst Played: **{1}**\n\n**User Info:**\n• Id: `{2}`\n• UUID: `{3}`\n• Language: `{4}`\n• Rank: `{5}`\n• Friend Requests: `{6}`,État: {0}\nPremière connexion: **{1}**\n\n**Informations utilisateur:**\n• Id: `{2}`\n• UUID: `{3}`\n• Langue: `{4}`\n• Rang: `{5}`\n• Demandes d'amis: `{6}`,,,,,,,
COMMAND_STATS_HYPIXEL_PLAYER_NETSTATS,**Network Stats:**\n• Experience: `{0}`\n• Karma: `{1}`\n• Achievement Points: `{2}`\n• One-Time Achievements: `{3}`\n• Most Recent Game: `{4}`\n• Most Recent Version: `{5}`,**Statistiques du réseau:**\n• Expérience: `{0}`\n• Karma: `{1}`\n• Points de réussite: `{2}`\n• Première Réalisations: `{3}`\n• Jeu le plus récent: `{4}`\n• Version la plus récente: `{5}`,,,,,,,
COMMAND_STATS_HYPIXEL_COMPARE_TITLE,{0}'s and {1}'s Stats,Statistiques de {0} et {1},,,,,,,
COMMAND_STATS_HYPIXEL_COMPARE_RANK_SAME,Both have the same rank `{0}`,Les deux ont le même rang `{0}`,,,,,,, 
COMMAND_STATS_HYPIXEL_COMPARE_RANK_DIFF,{0} has the rank `{1}`\n{2} has the rank `{3}`,{0} a le rang `{1}`\n{2} a le rang: `{3}`,,,,,,,
COMMAND_STATS_HYPIXEL_COMPARE_JOINED_BOTH,{0} joined first on {1}\n{2} joined after on {3},{0} a rejoint le premier le {1}\n{2} a rejoint après le {3},,,,,,,
COMMAND_STATS_HYPIXEL_COMPARE_JOINED_ONE,{0} joined on {1}\n{2} has never joined,{0} a rejoint le {1}\n{2} n'a jamais rejoint,,,,,,,
COMMAND_STATS_HYPIXEL_COMPARE_JOINED_NEITHER,Neither have ever joined,Ni l'un ni l'autre n'ont jamais rejoint,,,,,,,
COMMAND_STATS_HYPIXEL_COMPARE_DESC,{0}\n\n**User Info:**\n• Rank: {1}\n\n{2},{0}\n\n**Informations utilisateur: **\n• Classement: {1}\n\n{2},,,,,,,
COMMAND_STATS_HYPIXEL_LEADERBOARDS_FAIL_TITLE,Problem getting leaderboard!,Problème pour obtenir le classement!,,,,,,,
COMMAND_STATS_HYPIXEL_LEADERBOARDS_FAIL_DESC,There was a problem that occured when trying\nto get the leaderboard for that gamemode!,Un problème est survenu lors de la tentative\nd'obtenir le classement pour ce mode de jeu!,,,,,,,
COMMAND_STATS_HYPIXEL_LEADERBOARDS_TITLE,{0} Leaderboards,{0} Classements,,,,,,,
COMMAND_STATUS,Displays current information about the server,Affiche les informations actuelles sur le serveur,,,Показывает актуальную информацию о сервере,,,,
COMMAND_STATUS_TITLE,Server Info {0},Informations sur le serveur {0},,,Информация о сервере {0},,,,
COMMAND_STATUS_DESC,Address: **{0}**\nStatus: <:green_circle_with_tick:818512512500105249> **Online**{1}\nPlayers: **{2}/{3}**{4}{5},Adresse: **{0}**\nStatut: <:green_circle_with_tick:818512512500105249> **En ligne**{1}\nJoueurs: **{2}/{3}**{4}{5},,,Адрес: **{0}**\nСтатус: <:green_circle_with_tick:818512512500105249> **Онлайн**{1}\nИгроков: **{2}/{3}**{4}{5},,,,
COMMAND_STATUS_FAIL_DESC,Address: **{0}:{1}**\nStatus: <:red_circle_with_cross:818512512764084265> **Offline**{2},Adresse: **{0}:{1}**\nStatut: <:red_circle_with_cross:818512512764084265> **Hors ligne**{2},,,Адрес: **{0}:{1}**\nСтатус: <:red_circle_with_cross:818512512764084265> **Оффлайн**{2},,,,
COMMAND_STATUS_FIELD1,Minecraft Version:,Version de Minecraft:,,,Версия Minecraft:,,,,
COMMAND_STATUS_FIELD2,Minecraft Edition:,Édition Minecraft:,,,Издание:,,,,
COMMAND_STATUS_FIELD3,Map:,Map:,,,Карта:,,,,
COMMAND_SUPPORT,Support info for the bot,Informations d'assistance pour le bot,,,,,,,
COMMAND_SUPPORT_FIELD1,Donate,Faire un don,,,,,,,
COMMAND_SUPPORT_FIELD1_VAL,Help support us by donating,Aidez-nous à nous soutenir en faisant un don,,,,,,,
COMMAND_SUPPORT_FIELD2,Support server,Serveur de support,,,,,,,
COMMAND_SUPPORT_FIELD2_VAL,Join our support server,Rejoindre notre serveur de support,,,,,,,
COMMAND_SUPPORT_FIELD3,Supported Minecraft Versions,Versions de Minecraft prises en charge,,,,,,,
COMMAND_SUPPORT_FIELD3_VAL,Java {0}+ and all official Bedrock versions,Java {0} + et toutes les versions officielles de Bedrock,,,,,,,
COMMAND_UPTIME,Returns the bot's uptime,Renvoie le temps de fonctionnement du bot,,,Показывает время работы бота,,,,
COMMAND_VERSIONS,Lists all minecraft versions that the bot supports,Répertorie toutes les versions de Minecraft prises en charge par le bot,,,Список всех поддерживаемых ботом версий Minecraft,,,,
COMMAND_VERSIONS_TITLE,Supported Versions,Versions prises en charge,,,Поддерживаемые версии,,,,
COMMAND_VERSIONS_DESC,Minecraft Java versions {0}+ and all official Minecraft Bedrock versions are supported.,Les versions Java de Minecraft {0} + et toutes les versions officielles de Minecraft Bedrock sont prises en charge.,,,Поддерживается Minecraft версий Java {0}+ и все официальные сервера Minecraft Bedrock.,,,,
COMMAND_VOTE,Help the bot by upvoting on these sites,Aidez le bot en votant pour ces sites,,,,,,,
COMMAND_VOTE_DESC,Voting for the bot helps to support the bot grow and encourages the release of new updates and features.\n\n**Vote for the bot at these links:**,Voter pour le bot aide à soutenir la croissance du bot et encourage la publication de nouvelles mises à jour et fonctionnalités.\n\n**Votez pour le bot à ces liens:**,,,,,,,
COMMAND_WHOIS,Get information about a player,Obtenir des informations sur un joueur,,,Показывает информацию об игроке,,,,
COMMAND_WHOIS_ARG1,The username or uuid of the player you want to get information about,Le nom d'utilisateur ou uuid du joueur sur lequel vous souhaitez obtenir des informations,,,"Имя пользователя или uuid игрока, о котором вы хотите получить информацию",,,,
COMMAND_WHOIS_FIELD1,Usernames,Noms d'utilisateur,,,Никнеймы,,,,
COMMAND_WHOIS_FIELD2,Skin,Skin,,,Скин,,,,
COMMAND_WHOIS_FIELD2_VAL,[Download skin](https://mc-heads.net/download/{0})\n[Apply skin](https://mc-heads.net/change/{0})\nProvided by [mc-heads.net](https://mc-heads.net/),[Télécharger le skin](https://mc-heads.net/download/{0})\n[Appliquer le skin](https://mc-heads.net/change/{0})\nFourni par [mc- heads.net](https://mc-heads.net/),,,[Скачать скин](https://mc-heads.net/download/{0})\n[Применить скин](https://mc-heads.net/change/{0})\nПредоставлено [mc-heads.net](https://mc-heads.net/),,,,
COMMAND_WHOIS_AVAILABLE_TITLE,<:green_circle_with_tick:818512512500105249> Available account,<:green_circle_with_tick:818512512500105249> Compte disponible,,,,,,,
COMMAND_WHOIS_AVAILABLE_DESC,No account with the identifier `{0}` exists.,Aucun compte avec l'identifiant `{0}` n'existe.,,,,,,,
EXAMPLE_IP,The ip of your server e.g. `172.16.254.1` or `mc.hypixel.net`,"L'adresse IP de votre serveur, par ex. `172.16.254.1` ou `mc.hypixel.net`",,,,,,,
EXAMPLE_PORT,The port that your server is served from e.g. `25565`,"Le port à partir duquel votre serveur est servi, par exemple «25565» ",,,,,,,
EXAMPLE_ADDRESS,"The address of the server e.g. `mc.hypixel.net`, `mc.hypixel.net:25565` or `172.16.254.1:25665`","L'adresse du serveur, par ex. `mc.hypixel.net`, `mc.hypixel.net:25565` ou `172.16.254.1:25665`",,,,,,,
INVALID_IP,`{0}` is not a valid ip address,,,,,,,,
INVALID_DATE,Invalid date,Date invalide,,,,,,,
INVALID_USER,Invalid user,Utilisateur invalide,,,,,,,
INVALID_CHANNEL,Invalid channel,Canal invalide,,,,,,,
INVALID_MESSAGE,Invalid message,Message invalide,,,,,,,
INVALID_GUILD,Invalid guild,Guilde invalide,,,,,,,
INVALID_ROLE,Invalid role,Role invalide,,,,,,,
INVALID_EMOJI,Invalid emoji,emoji invalide,,,,,,,
MUST_NUMBER,`{0}` must be a number,`{0}` doit être un nombre,,,,,,,
MUST_STRING,`{0}` must be a string,`{0}` doit être une chaîne,,,,,,,
MUST_DATE,`{0}` must be a date,`{0}` doit être une date,,,,,,,
MUST_USER,`{0}` must be a user,`{0}` doit être un utilisateur,,,,,,,
MUST_MESSAGE,`{0}` must be a message,`{0}` doit être un message,,,,,,,
MUST_CHANNEL,`{0}` must be a channel,`{0}` doit être un canal,,,,,,,
MUST_GUILD,`{0}` must be a guild,`{0}` doit être une guilde,,,,,,,
MUST_ROLE,`{0}` must be a role,`{0}` doit être un rôle,,,,,,,
MUST_EMOJI,`{0}` must be an emoji,`{0}` doit être un emoji,,,,,,,
CANNOT_EXCEED,`{0}` cannot exceed {1},`{0}` ne peut pas dépasser {1},,,,,,,
GUILD_JOIN_THANKS,Thank you for adding {0}!,Merci d'avoir ajouté {0}!,,,,,,,
GUILD_JOIN_DESC,"If you need a reminder on how to use the bot at anytime do: `@{1}`\n\n**How do I get started?**\nTo run a command you can do `{0}<command>` or `{1} <command>`!\n\nIn order to get your server setup and connected you can run the `{0}setup` command, it will give you an up-to-date detailed walkthrough for setting up your server.\n\nIf you would like to view a list of all commands you can do:\n`{0}help` or `@{1} help`.\n\nIf you would like to support the bot and its development, [Click here!](https://donatebot.io/checkout/797779595852120064)\n\n**Need help?**\nJoin our support server, [here!](https://discord.gg/uqVp2XzUP8)","Si vous avez besoin d'un rappel sur la façon d'utiliser le bot à tout moment, faites: `@{1}`\n\n**Comment commencer?**\nPour exécuter une commande, vous pouvez faire `{0}<commande>` ou `{1}<commande>`!\n\nPour que votre serveur soit configuré et connecté, vous pouvez exécuter la commande `{0}setup`, cela vous donnera un une  procédure pas à pas détaillée à jour pour la configuration de votre serveur.\n\nSi vous souhaitez afficher une liste de toutes les commandes que vous pouvez effectuer:\n`{0}help` ou `@{1} help`.\n\nSi vous souhaitez prendre en charge le bot et son développement, [Cliquez ici!](https://donatebot.io/checkout/797779595852120064)\n\n** Besoin d'aide? **\nRejoignez notre serveur d'assistance, [ici!](https://discord.gg/uqVp2XzUP8)",,,,,,,
SEND_MESSAGES_NOPERMS,I do not have permission to send messages in that channel!,Je n'ai pas la permission d'envoyer des messages sur ce canal!,,,,,,,
NOPERMS,You don't have permission to do that,Tu n'as pas la permission de faire ça,,,,,,,
TOOMANYCOMMANDS,Running too many commands!,Vous éxecutez trop de commandes!,,,,,,,
TOOMANYCOMMANDS_DESC,Please wait {0} seconds before running another command.,Veuillez patienter {0} secondes avant d'exécuter une autre commande.,,,,,,,
COMMANDTIMEOUT,That command has a timeout!,,,,,,,,
COMMANDTIMEOUT_DESC,Please wait {0} seconds before trying to run the command again.,,,,,,,,
DISABLED_COMMAND,That command is disabled in this server,Cette commande est désactivée sur ce serveur,,,,,,,
ERROR_COMMAND,"An error occured while trying to execute that command, please report this to the developer!","Une erreur s'est produite lors de la tentative d'exécution de cette commande, veuillez le signaler au développeur!",,,,,,,
ARGUMENTS_EXPECTED,"{0}' expects atleast {1} argument(s), got {2}","{0}' attend au moins {1} argument (s), a obtenu {2}",,,,,,,
GETTING_STARTED,Getting started,Commencer,,,,,,,
GETTING_STARTED_DESC,My **prefix** in this server is: **`{0}`**\n\nTo run a command you can do `{0}<command>` or `@{1} <command>`!\nIf you would like to view a list of all commands you can do:\n`{0}help` or `@{1} help`.,"Mon **préfixe** sur ce serveur est: **`{0}`**\n\nPour exécuter une commande, vous pouvez faire `{0}<commande>` ou `@{1} <commande>`!\nSi vous souhaitez afficher une liste de toutes les commandes, vous pouvez faire:\n`{0}help` ou `@{1} help`.",,,,,,,
MAINTENANCE_MODE,Maintenance mode is currently enabled,Le mode de maintenance est actuellement activé,,,,,,,
COULDNOTFIND,Could not find {0} '{1}',Impossible de trouver {0} '{1}',,,,,,,
COULDNOTFIND_IN,Could not find {0} '{1}' in this {2},Impossible de trouver {0} '{1}' dans ce {2},,,,,,,
AND_MORE,and {0} more...,et {0} plus ...,,,,,,,
PAGE_NUM,Page {0}/{1},Page {0}/{1},,,,,,,
TIME_FORMAT,{0}h {1}m {2}s,{0}h {1}m {2}s,,,{0}ч {1}м {2}с,,,,
TIME_FORMAT_LONG,{0} hours {1} minutes and {2} seconds,{0} heures {1} minutes et {2} secondes,,,,,,,
TIME_FORMAT_AGO,{0}s ago,il y a {0} secondes,,,,,,,
TIME_KEYWORD_HALFHOUR,lasthalfhour,,,,,,,,
TIME_KEYWORD_LASTHOUR,lasthour,,,,,,,,
TIME_KEYWORD_TODAY,today,,,,,,,,
TIME_KEYWORD_YESTERDAY,yesterday,,,,,,,,
TIME_KEYWORD_THISWEEK,thisweek,,,,,,,,
TIME_KEYWORD_LASTWEEK,lastweek,,,,,,,,
JAVA,Java,Java,Java,,Java,,,,
BEDROCK,Bedrock,Bedrock,,,Bedrock,,,,
VANILLA,Vanilla,Vanilla,,,Vanilla,,,,
MODS,Modded ({0} mods),Moddé ({0} mods),,,Модифицировано (модов: {0}),,,,
PLUGINS,({0} plugins),({0} plugins),,,(плагины: {0}),,,,
AUTOMATED,Automated,,,,,,,,
CHANNEL,channel,canal,,,,,,,
MESSAGE,message,message,,,,,,,
GUILD,guild,guilde,,,,,,,
NOT_PROVIDED,Not provided,Non fourni,,,,,,,
PONG,Pong!,Pong!,,,Понг!,,,,
ORIGINAL,Original,Original,,,Первоначальный,,,,
COPYRIGHT,Copyright {0} © All rights reserved.,Copyright {0} © Tous droits réservés.,,,Copyright {0} © Все права защищены,,,,
UPTIME,Uptime,Temps de fonctionnement,,,Аптайм,,,,
MOBILE,Mobile,Mobile,,,,,,,
COMMANDS,Commands,Commandes,,,Команды,,,,
PREFIX,Prefix,Préfixe,,,Префикс,,,,
UNKNOWN,Unknown,Inconnu,,,,,,,
ENABLED,Enabled,Activé,,,,,,,
DISABLED,Disabled,Désactivé,,,,,,,
NEVER,Never,Jamais,,,,,,,
EMPTY,Empty,Vide,,,,,,,
NONE,None,None,,,None,,,,
